MCC,MNC,LAC,Cell_ID,arfcn,mylnikov,lat,lon
310,260,8e2,1e99,0634,PASS,32.59903467393,-85.33828243748
310,260,8e2,4575,0633,PASS,32.59429077081,-85.48289619966
310,260,8e2,4576,0684,PASS,32.59860777332,-85.48666043309
310,410,7935,9821,0181,PASS,37.89574501583,-115.17195734655
310,260,8e2,4578,0612,PASS,32.59903467393,-85.33828243748
0,0,0,0000,65535,FAIL,NULL,NULL
310,260,8e2,1e98,0636,PASS,32.59915425927,-85.48486685648
