time,MCC,MNC,LAC,Cell_ID,rxl,arfcn,bsic,lat,lon,satellites,GPS_quality,altitude,altitude_units
194558.000,310,410,7935,9821,5,0181,12,32.60930633544922,-85.48155975341797,5,2,230.1999969482422,M
194509.000,310,410,7935,10a1,12,0181,12,32.60243606567383,-85.48825073242188,5,2,230.1999969482422,M
194512.000,310,410,7935,10a1,8,0181,12,32.604434967041016,-85.49024963378906,5,2,230.1999969482422,M
194538.000,310,410,7935,10a1,8,0181,12,32.59443664550781,-85.48825073242188,5,2,230.1999969482422,M
194510.000,310,410,7935,10a1,12,0181,12,32.604434967041016,-85.48825073242188,5,2,230.1999969482422,M
